rank,file_name,page_count,has_tables,keyword_score,semantic_score,cosine_sim,skills_score,experience_score,resume_years,formatting_score,ats_score,grade,matched_keywords,matched_skills,missing_skills,word_count
80,26746496.pdf,2,False,9.5,11.75,0.3918,1.0,6.0,2.0,5,33.25,Needs Work,19,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1220
81,16186411.pdf,2,False,9.5,11.61,0.3869,1.0,6.0,2.0,5,33.11,Needs Work,19,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1312
82,64017585.pdf,1,False,5.5,7.59,0.2531,0.0,15.0,9.0,5,33.09,Needs Work,11,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",415
83,12334140.pdf,3,False,7.5,5.25,0.1748,0.0,15.0,20.0,5,32.75,Needs Work,15,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",2044
84,25857360.pdf,2,False,4.0,8.51,0.2836,0.0,15.0,14.0,5,32.51,Needs Work,8,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",823
85,29075857.pdf,2,False,12.0,9.96,0.3321,2.0,3.0,1.0,5,31.96,Needs Work,24,2,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",1248
86,24230851.pdf,2,False,5.5,5.97,0.1991,0.0,15.0,11.0,5,31.47,Needs Work,11,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",651
87,32959732.pdf,4,False,13.0,10.6,0.3533,1.0,0.0,0.0,5,29.6,Needs Work,26,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1644
88,68460556.pdf,1,False,3.5,8.37,0.2791,0.0,12.0,4.0,5,28.87,Needs Work,7,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",326
89,27372171.pdf,3,False,11.5,12.12,0.4038,0.0,0.0,0.0,5,28.62,Needs Work,23,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1572
90,22776912.pdf,2,False,10.5,11.63,0.3876,1.0,0.0,0.0,5,28.13,Needs Work,21,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1170
91,28897981.pdf,2,False,10.0,13.08,0.4359,0.0,0.0,0.0,5,28.08,Needs Work,20,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",899
92,26480367.pdf,2,False,9.0,12.83,0.4278,1.0,0.0,0.0,5,27.83,Needs Work,18,1,"['pcb', 'rf', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",671
93,17641670.pdf,3,False,10.5,12.24,0.4081,0.0,0.0,0.0,5,27.74,Needs Work,21,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1846
94,91635250.pdf,2,False,11.0,11.38,0.3794,0.0,0.0,0.0,5,27.38,Needs Work,22,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",944
95,18187364.pdf,3,False,11.5,9.67,0.3225,1.0,0.0,0.0,5,27.17,Needs Work,23,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1177
96,13385306.pdf,2,False,8.0,11.55,0.3849,1.0,0.0,0.0,5,25.55,Needs Work,16,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",714
97,25905275.pdf,2,False,8.5,11.3,0.3768,0.0,0.0,0.0,5,24.8,Needs Work,17,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",966
98,39413067.pdf,2,False,8.0,10.79,0.3597,1.0,0.0,0.0,5,24.79,Needs Work,16,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",682
99,27485716.pdf,2,False,7.5,11.57,0.3856,0.0,0.0,0.0,5,24.07,Needs Work,15,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",739
100,41344156.pdf,2,False,9.0,8.03,0.2678,2.0,0.0,0.0,5,24.03,Needs Work,18,2,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",913
101,17688766.pdf,2,False,7.0,10.88,0.3627,1.0,0.0,0.0,5,23.88,Needs Work,14,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",579
102,17681064.pdf,2,False,6.5,12.32,0.4107,0.0,0.0,0.0,5,23.82,Needs Work,13,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",648
103,28035460.pdf,2,False,7.5,10.31,0.3435,1.0,0.0,0.0,5,23.81,Needs Work,15,1,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",803
104,23666211.pdf,2,False,7.0,11.55,0.3849,0.0,0.0,0.0,5,23.55,Needs Work,14,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",745
105,91121135.pdf,2,False,8.0,10.31,0.3437,0.0,0.0,0.0,5,23.31,Needs Work,16,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",821
106,24038620.pdf,2,False,7.5,10.7,0.3565,0.0,0.0,0.0,5,23.2,Needs Work,15,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",907
107,33241454.pdf,1,False,6.5,11.69,0.3896,0.0,0.0,0.0,5,23.19,Needs Work,13,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",540
108,20237244.pdf,1,False,5.5,12.68,0.4227,0.0,0.0,0.0,5,23.18,Needs Work,11,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",390
109,19850482.pdf,2,False,7.5,10.22,0.3407,0.0,0.0,0.0,5,22.72,Needs Work,15,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",984
110,23527321.pdf,2,False,8.5,8.96,0.2986,0.0,0.0,0.0,5,22.46,Needs Work,17,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",809
111,18176523.pdf,2,False,7.5,8.89,0.2965,1.0,0.0,0.0,5,22.39,Needs Work,15,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",601
112,26768723.pdf,2,False,5.0,10.57,0.3525,0.0,0.0,0.0,5,20.57,Needs Work,10,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",695
113,92069209.pdf,2,False,8.5,6.94,0.2312,0.0,0.0,0.0,5,20.44,Needs Work,17,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",705
114,37764298.pdf,2,False,6.5,7.47,0.249,1.0,0.0,0.0,5,19.97,Needs Work,13,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",866
115,48037995.pdf,2,False,10.0,3.89,0.1298,1.0,0.0,0.0,5,19.89,Needs Work,20,1,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",737
116,20824105.pdf,3,False,5.5,6.93,0.2311,1.0,0.0,0.0,5,18.43,Needs Work,11,1,"['pcb', 'rf', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",913
117,18752129.pdf,2,False,5.5,7.03,0.2342,0.0,0.0,0.0,5,17.53,Needs Work,11,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1324
118,20024870.pdf,2,False,5.0,6.37,0.2122,1.0,0.0,0.0,5,17.37,Needs Work,10,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",391
119,17987433.pdf,2,False,5.0,6.84,0.2279,0.0,0.0,0.0,5,16.84,Needs Work,10,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",745
120,24083609.pdf,1,False,4.5,8.35,0.2784,0.0,0.0,0.0,3,15.85,Needs Work,9,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",237
